gene	marker_id
AT1G02120	399823_1
AT1G02130	401798_1
AT1G02136	402747_1
AT1G02140	404438_1
AT1G02145	408400_1
AT1G02150	410058_1
AT1G02160	411405_1
AT1G02170	413334_1
AT1G02180	414585_1
AT1G02190	417959_1
AT1G02205	422431_1
AT1G02210	427802_1
AT1G02220	430562_1
AT1G02228	433591_1
AT1G02228.1	433591_1
AT1G02230	436772_1
AT1G02250	439404_1
AT1G02260	442830_1
AT1G02270	446096_1
AT1G02280	450341_1
AT1G02290	452654_1
AT1G02300	455405_1
AT1G02305	458157_1
AT1G02310	460696_1
AT1G02320	461882_1
AT1G02330	463580_1
AT1G02335	464909_1
AT1G02340	467719_1
AT1G02350	470603_1
AT1G02360	473128_1
AT1G02370	476505_1
AT1G02380	478956_1
AT1G02390	483206_1
AT1G02400	489500_1
AT1G02405	490351_1
AT1G02410	492923_1
AT1G02420	494954_1
AT1G02430	495916_1
AT1G02440	497447_1
AT1G02450	498432_1
AT1G02460	506791_1
AT1G02470	513563_1
AT1G02475	515273_1
AT1G02480	515556_1
AT1G02490	516728_1
AT1G02500	520407_1
AT1G02510	521649_1
AT1G02520	528663_1
AT1G02530	534675_1
AT1G02540	535434_1
AT1G02550	537139_1
AT1G02560	540035_1
AT1G02570	542163_1
AT1G02575	543955_1
AT1G02580	549194_1
AT1G02590	552736_1
AT1G02610	555931_1
AT1G02620	557809_1
AT1G02630	562407_1
AT1G02640	567754_1
AT1G02650	570250_1
AT1G02660	574842_1
AT1G02670	580028_1
AT1G02680	582301_1
AT1G02681	582902_1
AT1G02690	587196_1
AT1G02700	589461_1
AT1G02710	589797_1
AT1G02720	594177_1
AT1G02730	598593_1
AT1G02740	602008_1
AT1G02750	604256_1
AT1G02770	606642_1
AT1G02780	609442_1
AT1G02790	612318_1
AT1G02800	616130_1
AT1G02810	620155_1
AT1G02813	621268_1
AT1G02816	622374_1
AT1G02820	624421_1
AT1G02830	625583_1
AT1G02840	629784_1
AT1G02850	633189_1
AT1G02860	637198_1
AT1G02870	638656_1
AT1G02880	644837_1
AT1G02890	651888_1
AT1G02900	654036_1
AT1G02910	658121_1
AT1G02920	659729_1
AT1G02930	662402_1
AT1G02940	664127_1
AT1G02950	666367_1
AT1G02952	666367_1
AT1G02960	669814_1
AT1G02965	672735_1
AT1G02970	676355_1
AT1G02980	681022_1
AT1G02990	687312_1
AT1G03000	692534_1
AT1G03010	696222_1
AT1G03020	698495_1
AT1G03022	699126_1
AT1G03030	703705_1
AT1G03040	706580_1
AT1G03050	709976_1
AT1G03055	711803_1
AT1G03060	726492_1
AT1G03070	731527_1
AT1G03080	737913_1
AT1G03090	744025_1
AT1G03100	746409_1
AT1G03103	748020_1
AT1G03106	749019_1
AT1G03110	751914_1
AT1G03120	752927_1
AT1G03130	754180_1
AT1G03140	756131_1
AT1G03150	758581_1
AT1G03160	766116_1
AT1G03170	770611_1
AT1G03180	775253_1
AT1G03190	780024_1
AT1G03200	781196_1
AT1G03210	784053_1
AT1G03220	788608_1
AT1G03230	791408_1
AT1G03240	792950_1
AT1G03250	795368_1
AT1G03260	798411_1
AT1G03270	802214_1
AT1G03280	806707_1
AT1G03290	810819_1
AT1G03300	813025_1
AT1G03310	816620_1
AT1G03320	817691_1
AT1G03330	819493_1
AT1G03340	821311_1
AT1G03350	824354_1
AT1G03360	826188_1
AT1G03365	830232_1
AT1G03370	834645_1
AT1G03380	840891_1
AT1G03390	842188_1
AT1G03400	843736_1
AT1G03410	847683_1
AT1G03420	847725_1
AT1G03420.1	847725_1
AT1G03430	849483_1
AT1G03440	854006_1
AT1G03445	859456_1
AT1G03457	864094_1
AT1G03470	867667_1
AT1G03475	870482_1
AT1G03490	872764_1
AT1G03495	874894_1
AT1G03502	875445_1
AT1G03506	875557_1
AT1G03510	877450_1
AT1G03520	880144_1
AT1G03530	882350_1
AT1G03540	885572_1
AT1G03545	887766_1
AT1G03550	887766_1
AT1G03560	892198_1
AT1G03580	893717_1
AT1G03590	897147_1
AT1G03600	899464_1
AT1G03610	902996_1
AT1G03620	906006_1
AT1G03630	909365_1
AT1G03650	911190_1
AT1G03660	911746_1
AT1G03670	916158_1
AT1G03680	918061_1
AT1G03687	920372_1
AT1G03700	921878_1
AT1G03710	924716_1
AT1G03720	926370_1
AT1G03730	931809_1
AT1G03740	936983_1
AT1G03746	937424_1
AT1G03750	941160_1
AT1G03760	942914_1
AT1G03770	947084_1
AT1G03780	951475_1
AT1G03790	955986_1
AT1G03800	957957_1
AT1G03810	959406_1
AT1G03820	960363_1
AT1G03830	966712_1
AT1G03840	970070_1
AT1G03850	977649_1
AT1G03860	981863_1
AT1G03870	983540_1
AT1G03880	987515_1
AT1G03890	990908_1
AT1G03900	992789_1
AT1G03905	995739_1
AT1G03910	1000433_1
AT1G03920	1004373_1
AT1G03930	1008331_1
AT1G03935	1008872_1
AT1G03940	1011046_1
AT1G03950	1013363_1
AT1G03960	1017824_1
AT1G03970	1019229_1
AT1G03980	1022021_1
AT1G03982	1023708_1
AT1G03990	1027167_1
AT1G04000	1028742_1
AT1G04010	1035882_1
AT1G04020	1040202_1
AT1G04030	1042774_1
AT1G04040	1043833_1
AT1G04050	1049176_1
AT1G04080	1056763_1
AT1G04090	1059344_1
AT1G04100	1061188_1
AT1G04110	1063748_1
AT1G04120	1070910_1
AT1G04130	1075536_1
AT1G04140	1080617_1
AT1G04150	1084228_1
AT1G04160	1096002_1
AT1G04170	1099824_1
AT1G04171	1100495_1
AT1G04180	1105697_1
AT1G04190	1108688_1
AT1G04200	1114010_1
AT1G04210	1119662_1
AT1G04220	1122393_1
AT1G04230	1128145_1
AT1G04240	1129316_1
AT1G04250	1138566_1
AT1G04260	1141138_1
AT1G04270	1143053_1
AT1G04280	1146649_1
AT1G04290	1148520_1
AT1G04295	1148427_1
AT1G04300	1154497_1
AT1G04310	1157702_1
AT1G04330	1161936_1
AT1G04340	1164848_1
AT1G04350	1166752_1
AT1G04360	1168792_1
AT1G04370	1175563_1
AT1G04380	1178391_1
AT1G04390	1183619_1
AT1G04400	1188515_1
AT1G04410	1191330_1
AT1G04420	1193871_1
AT1G04425	1196811_1
AT1G04430	1201387_1
AT1G04440	1205739_1
AT1G04445	1207742_1
AT1G04450	1209292_1
AT1G04457	1210540_1
AT1G04470	1214630_1
AT1G04480	1217462_1
AT1G04490	1219980_1
AT1G04500	1224311_1
AT1G04501	1224674_1
AT1G04510	1230818_1
AT1G04520	1233890_1
AT1G04530	1235771_1
AT1G04540	1238852_1
AT1G04550	1242109_1
AT1G04555	1244224_1
AT1G04560	1246040_1
AT1G04570	1248760_1
AT1G04580	1257430_1
AT1G04590	1261401_1
AT1G04600	1272310_1
AT1G04610	1281539_1
AT1G04620	1286377_1
AT1G04625	1289809_1
AT1G04630	1290815_1
AT1G04635	1291952_1
AT1G04640	1293296_1
AT1G04645	1294254_1
AT1G04650	1298953_1
AT1G04660	1301757_1
AT1G04670	1302704_1
AT1G04680	1307858_1
AT1G04690	1315742_1
AT1G04700	1320768_1
AT1G04710	1324769_1
AT1G04730	1330801_1
AT1G04750	1333540_1
AT1G04760	1335321_1
AT1G04770	1337777_1
AT1G04778	1340297_1
AT1G04780	1343461_1
AT1G04790	1348386_1
AT1G04800	1349267_1
AT1G04810	1355409_1
AT1G04820	1358332_1
AT1G04830	1361957_1
AT1G04840	1364758_1
AT1G04850	1367707_1
AT1G04860	1373080_1
AT1G04870	1375632_1
AT1G04880	1378839_1
AT1G04890	1382394_1
AT1G04900	1387767_1
AT1G04910	1391163_1
AT1G04920	1395697_1
AT1G04930	1399006_1
AT1G04940	1400703_1
AT1G04945	1403075_1
AT1G04950	1407418_1
AT1G04960	1410829_1
AT1G04970	1413466_1
AT1G04980	1414917_1
AT1G04985	1418399_1
AT1G04990	1421773_1
AT1G05000	1428717_1
AT1G05010	1432810_1
AT1G05020	1437508_1
AT1G05030	1441358_1
AT1G05040	1448365_1
AT1G05055	1450853_1
AT1G05060	1452758_1
AT1G05061	1454233_1
AT1G05065	1455213_1
AT1G05070	1458654_1
AT1G05080	1460532_1
AT1G05085	1461583_1
AT1G05090	1463356_1
AT1G05100	1470807_1
AT1G05120	1476032_1
AT1G05135	1478672_1
AT1G05140	1483913_1
AT1G05150	1486956_1
AT1G05160	1490903_1
AT1G05170	1494225_1
AT1G05180	1501399_1
AT1G05190	1503744_1
AT1G05200	1509121_1
AT1G05205	1510037_1
AT1G05210	1511368_1
AT1G05220	1513343_1
AT1G05230	1518687_1
AT1G05250	1525601_1
AT1G05260	1531429_1
AT1G05270	1534321_1
AT1G05280	1537503_1
AT1G05290	1540537_1
AT1G05291	1542354_1
AT1G05300	1547727_1
AT1G05310	1552332_1
AT1G05320	1557671_1
AT1G05330	1558544_1
AT1G05340	1559903_1
AT1G05350	1564087_1
AT1G05360	1567435_1
AT1G05370	1572221_1
AT1G05380	1582519_1
AT1G05385	1583673_1
AT1G05400	1585364_1
AT1G05410	1587720_1
AT1G05420	1590752_1
AT1G05430	1595815_1
AT1G05440	1597840_1
AT1G05450	1601146_1
AT1G05460	1605025_1
AT1G05470	1611645_1
AT1G05490	1623442_1
AT1G05500	1629071_1
AT1G05510	1630822_1
AT1G05520	1635591_1
AT1G05530	1637660_1
AT1G05540	1640737_1
AT1G05550	1643611_1
AT1G05560	1647045_1
AT1G05562	1647158_1
AT1G05570	1659426_1
AT1G05575	1662150_1
AT1G05577	1664377_1
AT1G05580	1668865_1
AT1G05590	1671817_1
AT1G05600	1673841_1
AT1G05610	1675924_1
AT1G05615	1678258_1
AT1G05620	1681673_1
AT1G05630	1687318_1
AT1G05640	1689335_1
AT1G05650	1692082_1
AT1G05660	1696046_1
AT1G05670	1700980_1
AT1G05675	1702724_1
AT1G05680	1704645_1
AT1G05690	1709154_1
AT1G05700	1713188_1
AT1G05710	1717244_1
AT1G05720	1718859_1
AT1G05730	1720280_1
AT1G05740	1721270_1
AT1G05750	1724652_1
AT1G05760	1724474_1
AT1G05770	1726136_1
AT1G05780	1728324_1
AT1G05785	1732615_1
AT1G05790	1737485_1
AT1G05800	1742552_1
AT1G05805	1747636_1
AT1G05810	1748929_1
AT1G05820	1753964_1
AT1G05830	1761790_1
AT1G05835	1762735_1
AT1G05840	1766241_1
AT1G05850	1768676_1
AT1G05860	1770847_1
AT1G05870	1773293_1
AT1G05880	1778543_1
AT1G05890	1784481_1
AT1G05894	1786055_1
AT1G05900	1789653_1
AT1G05910	1796617_1
AT1G05920	1798253_1
AT1G05925	1798919_1
AT1G05930	1800893_1
AT1G05940	1803558_1
AT1G05950	1807082_1
AT1G05960	1815348_1
AT1G05970	1817230_1
AT1G05990	1818877_1
AT1G06000	1821659_1
AT1G06002	1821918_1
AT1G06010	1823989_1
AT1G06020	1826086_1
AT1G06030	1828152_1
AT1G06040	1829801_1
AT1G06050	1832539_1
AT1G06060	1834530_1
AT1G06070	1837594_1
AT1G06080	1846206_1
AT1G06090	1849692_1
AT1G06100	1852879_1
AT1G06110	1854986_1
AT1G06120	1857647_1
AT1G06130	1860729_1
AT1G06135	1862650_1
AT1G06137	1863672_1
AT1G06140	1866430_1
AT1G06148	1877492_1
AT1G06149	1873588_1
AT1G06150	1873588_1
AT1G06160	1883928_1
AT1G06170	1886746_1
AT1G06180	1891115_1
AT1G06190	1894025_1
AT1G06200	1896895_1
AT1G06210	1899179_1
AT1G06220	1904774_1
AT1G06225	1906202_1
AT1G06230	1910556_1
AT1G06240	1913077_1
AT1G06250	1914731_1
AT1G06260	1917526_1
AT1G06265	1917526_1
AT1G06270	1919502_1
AT1G06280	1920720_1
AT1G06290	1926278_1
AT1G06310	1930111_1
AT1G06320	1931101_1
AT1G06330	1932228_1
AT1G06340	1933939_1
AT1G06350	1936481_1
AT1G06360	1940375_1
AT1G06370	1944894_1
AT1G06380	1945753_1
AT1G06390	1950806_1
AT1G06400	1952744_1
AT1G06410	1958722_1
AT1G06420	1959718_1
AT1G06430	1962967_1
AT1G06440	1965018_1
AT1G06450	1967163_1
AT1G06460	1969492_1
AT1G06470	1973745_1
AT1G06475	1974139_1
AT1G06490	1989401_1
AT1G06500	1990434_1
AT1G06510	1993386_1
AT1G06515	1992194_1
AT1G06520	1996086_1
AT1G06530	2002368_1
AT1G06540	2003322_1
AT1G06550	2007016_1
AT1G06560	2011810_1
AT1G06570	2013507_1
AT1G06580	2016047_1
AT1G06590	2024634_1
AT1G06620	2027196_1
AT1G06630	2031343_1
AT1G06640	2034010_1
AT1G06645	2035508_1
AT1G06650	2037027_1
AT1G06660	2040164_1
AT1G06670	2047390_1
AT1G06680	2049383_1
AT1G06690	2052053_1
AT1G06700	2055422_1
AT1G06710	2060060_1
AT1G06720	2067105_1
AT1G06730	2070402_1
AT1G06740	2073488_1
AT1G06740.1	2073488_1
AT1G06750	2076288_1
AT1G06760	2077683_1
AT1G06770	2081830_1
AT1G06780	2086658_1
AT1G06790	2089525_1
AT1G06800	2091481_1
AT1G06810	2092507_1
AT1G06820	2096127_1
AT1G06830	2097455_1
AT1G06840	2103320_1
AT1G06850	2106670_1
AT1G06860	2107410_1
AT1G06870	2110916_1
AT1G06880	2111189_1
AT1G06890	2114445_1
AT1G06900	2120485_1
AT1G06910	2123424_1
AT1G06920	2125767_1
AT1G06923	2127994_1
AT1G06925	2128515_1
AT1G06930	2129871_1
AT1G06950	2135633_1
AT1G06960	2137673_1
AT1G06970	2140701_1
AT1G06980	2143479_1
AT1G06990	2150148_1
AT1G07000	2152323_1
AT1G07010	2155215_1
AT1G07020	2155891_1
AT1G07025	2158154_1
AT1G07030	2160726_1
AT1G07040	2163281_1
AT1G07050	2165180_1
AT1G07051	2165699_1
AT1G07060	2168287_1
AT1G07070	2169738_1
AT1G07080	2171185_1
AT1G07090	2174890_1
AT1G07100	2177944_1
AT1G07110	2183991_1
AT1G07119	2186478_1
AT1G07120	2186478_1
AT1G07128	2188321_1
AT1G07130	2188321_1
AT1G07135	2190593_1
AT1G07140	2193778_1
AT1G07150	2195714_1
AT1G07160	2199741_1
AT1G07170	2201234_1
AT1G07175	2202674_1
AT1G07180	2206911_1
AT1G07190	2208175_1
AT1G07200	2212462_1
AT1G07210	2216887_1
AT1G07220	2219431_1
AT1G07230	2222813_1
AT1G07240	2224808_1
AT1G07250	2227539_1
AT1G07260	2228932_1
AT1G07270	2232629_1
AT1G07280	2240937_1
AT1G07290	2244285_1
AT1G07300	2246378_1
AT1G07310	2248641_1
AT1G07320	2250474_1
AT1G07330	2253507_1
AT1G07340	2256615_1
AT1G07350	2260100_1
AT1G07360	2262839_1
AT1G07370	2264457_1
AT1G07380	2268050_1
AT1G07390	2274193_1
AT1G07400	2275719_1
AT1G07410	2277148_1
AT1G07420	2280293_1
AT1G07430	2282748_1
AT1G07440	2287516_1
AT1G07450	2289123_1
AT1G07460	2290812_1
AT1G07470	2294206_1
AT1G07473	2295456_1
AT1G07476	2296412_1
AT1G07480	2299388_1
AT1G07485	2302045_1
AT1G07490	2301712_1
AT1G07500	2305002_1
AT1G07510	2309179_1
AT1G07520	2311739_1
AT1G07530	2316432_1
AT1G07540	2320913_1
AT1G07550	2326549_1
AT1G07560	2331076_1
AT1G07570	2333569_1
AT1G07590	2339182_1
AT1G07600	2339182_1
AT1G07610	2342104_1
AT1G07615	2344270_1
AT1G07620	2346736_1
AT1G07630	2351588_1
AT1G07640	2356134_1
AT1G07645	2368379_1
AT1G07650	2366510_1
AT1G07660	2369647_1
AT1G07670	2374523_1
AT1G07680	2377063_1
AT1G07690	2378941_1
AT1G07700	2381136_1
AT1G07705	2385920_1
AT1G07710	2387932_1
AT1G07720	2392430_1
AT1G07725	2396924_1
AT1G07728	2396924_1
AT1G07730	2398452_1
AT1G07740	2399981_1
AT1G07745	2402669_1
AT1G07747	2403821_1
AT1G07750	2405869_1
AT1G07760	2406895_1
AT1G07770	2409544_1
AT1G07780	2412435_1
AT1G07790	2413698_1
AT1G07795	2414932_1
AT1G07800	2415966_1
AT1G07800.1	2415966_1
AT1G07810	2420707_1
AT1G07820	2421942_1
AT1G07830	2423487_1
AT1G07840	2426676_1
AT1G07850	2428139_1
AT1G07860	2429314_1
AT1G07870	2432044_1
AT1G07880	2435576_1
AT1G07885	2436901_1
AT1G07890	2439661_1
AT1G07900	2443561_1
AT1G07901	2444116_1
AT1G07910	2454558_1
AT1G07920	2457298_1
AT1G07930	2460746_1
AT1G07940	2465477_1
AT1G07950	2466997_1
AT1G07960	2468916_1
AT1G07970	2471842_1
AT1G07980	2474671_1
AT1G07985	2476146_1
AT1G07990	2483134_1
AT1G08000	2485004_1
AT1G08005	2485508_1
AT1G08010	2487925_1
AT1G08030	2493232_1
AT1G08032	2494302_1
AT1G08035	2495040_1
AT1G08040	2498753_1
AT1G08050	2501356_1
AT1G08060	2510908_1
AT1G08065	2513443_1
AT1G08070	2516547_1
AT1G08080	2518523_1
AT1G08090	2526149_1
AT1G08100	2529113_1
AT1G08105	2534724_1
AT1G08105.1	2534724_1
AT1G08110	2537776_1
AT1G08115	2538208_1
AT1G08120	2539626_1
AT1G08125	2542324_1
AT1G08130	2547902_1
AT1G08135	2551258_1
AT1G08140	2554895_1
AT1G08150	2559065_1
AT1G08160	2560317_1
AT1G08165	2562129_1
AT1G08170	2563592_1
AT1G08180	2565121_1
AT1G08190	2573244_1
AT1G08200	2576703_1
AT1G08210	2580640_1
AT1G08220	2583294_1
AT1G08230	2586691_1
AT1G08250	2590245_1
AT1G08260	2606823_1
AT1G08270	2607495_1
AT1G08280	2609842_1
AT1G08290	2613168_1
AT1G08300	2618823_1
AT1G08310	2620430_1
AT1G08315	2621511_1
AT1G08320	2627791_1
AT1G08340	2632825_1
AT1G08350	2635713_1
AT1G08360	2637906_1
AT1G08370	2640523_1
AT1G08380	2641823_1
AT1G08390	2643276_1
AT1G08400	2645759_1
AT1G08410	2649327_1
AT1G08420	2656997_1
AT1G08430	2660392_1
AT1G08440	2665188_1
AT1G08450	2671604_1
AT1G08460	2674597_1
AT1G08465	2679767_1
AT1G08470	2683951_1
AT1G08480	2685240_1
AT1G08490	2688558_1
AT1G08500	2689917_1
AT1G08510	2694377_1
AT1G08520	2700959_1
AT1G08530	2703013_1
AT1G08540	2706839_1
AT1G08550	2709500_1
AT1G08560	2710900_1
AT1G08570	2714711_1
AT1G08580	2716331_1
AT1G08590	2722146_1
AT1G08592	2721582_1
AT1G08600	2733155_1
AT1G08610	2735792_1
AT1G08620	2743549_1
AT1G08630	2747959_1
AT1G08640	2751271_1
AT1G08650	2753667_1
AT1G08660	2759648_1
AT1G08670	2761515_1
AT1G08680	2768966_1
AT1G08695	2769447_1
AT1G08700	2771424_1
AT1G08710	2772965_1
AT1G08720	2779198_1
AT1G08730	2788366_1
AT1G08740	2799929_1
AT1G08740.1	2799929_1
AT1G08750	2804522_1
AT1G08760	2808589_1
AT1G08770	2809728_1
AT1G08780	2810902_1
AT1G08790	2812583_1
AT1G08800	2817964_1
AT1G08810	2820083_1
AT1G08820	2825256_1
AT1G08830	2829313_1
AT1G08840	2837943_1
AT1G08845	2840321_1
AT1G08860	2846013_1
AT1G08880	2847756_1
AT1G08890	2852259_1
AT1G08900	2855774_1
AT1G08910	2861167_1
AT1G08920	2870641_1
AT1G08930	2877222_1
AT1G08940	2879166_1
AT1G08960	2882160_1
AT1G08970	2884312_1
AT1G08980	2886435_1
AT1G08985	2887675_1
AT1G08990	2890921_1
AT1G09000	2895159_1
AT1G09010	2899341_1
AT1G09020	2904703_1
AT1G09040	2915184_1
AT1G09050	2920816_1
AT1G09060	2925762_1
AT1G09070	2928675_1
AT1G09080	2931712_1
AT1G09090	2936561_1
AT1G09100	2939311_1
AT1G09130	2942260_1
AT1G09140	2945893_1
AT1G09150	2949129_1
AT1G09155	2950933_1
AT1G09157	2952367_1
AT1G09160	2955593_1
AT1G09170	2962092_1
AT1G09176	2964558_1
AT1G09180	2965792_1
AT1G09190	2967643_1
AT1G09195	2971400_1
AT1G09200	2972184_1
AT1G09210	2976706_1
AT1G09220	2979419_1
AT1G09230	2982323_1
AT1G09240	2986004_1
AT1G09245	2987389_1
AT1G09250	2990280_1
AT1G09260	2993779_1
AT1G09270	2998193_1
AT1G09280	3001314_1
AT1G09290	3003657_1
AT1G09300	3007835_1
AT1G09310	3009588_1
AT1G09320	3012228_1
AT1G09330	3014842_1
AT1G09340	3018137_1
AT1G09350	3021427_1
AT1G09360	3021946_1
AT1G09370	3025295_1
AT1G09380	3029542_1
AT1G09390	3033449_1
AT1G09400	3035024_1
AT1G09410	3037518_1
AT1G09415	3038216_1
AT1G09420	3041651_1
AT1G09421	3039290_1
AT1G09430	3045392_1
AT1G09440	3047845_1
AT1G09450	3053111_1
AT1G09460	3055327_1
AT1G09470	3057343_1
AT1G09480	3060661_1
AT1G09483	3061703_1
AT1G09486	3063720_1
AT1G09490	3065923_1
AT1G09500	3068294_1
AT1G09510	3070894_1
AT1G09520	3072031_1
AT1G09530	3079493_1
AT1G09540	3087709_1
AT1G09550	3092306_1
AT1G09560	3094790_1
AT1G09570	3100267_1
AT1G09575	3102872_1
AT1G09580	3106203_1
AT1G09590	3107718_1
AT1G09600	3111248_1
AT1G09610	3112653_1
AT1G09620	3116540_1
AT1G09625	3117465_1
AT1G09630	3119399_1
AT1G09640	3122469_1
AT1G09645	3124557_1
AT1G09650	3127280_1
AT1G09660	3130983_1
AT1G09665	3133663_1
AT1G09680	3135893_1
AT1G09690	3137221_1
AT1G09700	3140300_1
AT1G09710	3144328_1
AT1G09720	3147248_1
AT1G09730	3154067_1
AT1G09740	3156226_1
AT1G09750	3159086_1
AT1G09760	3161689_1
AT1G09770	3165232_1
AT1G09780	3167851_1
AT1G09790	3170816_1
AT1G09794	3173434_1
AT1G09795	3176744_1
AT1G09800	3180421_1
AT1G09810	3184214_1
AT1G09812	3188573_1
AT1G09815	3190213_1
AT1G09820	3192406_1
AT1G09830	3195014_1
AT1G09840	3200208_1
AT1G09850	3203425_1
AT1G09860	3205189_1
AT1G09870	3208551_1
AT1G09880	3211599_1
AT1G09890	3217465_1
AT1G09900	3219731_1
AT1G09910	3224468_1
AT1G09920	3226982_1
AT1G09930	3229998_1
AT1G09932	3233074_1
AT1G09935	3235385_1
AT1G09940	3239551_1
AT1G09950	3241602_1
AT1G09960	3247156_1
AT1G09970	3255658_1
AT1G09980	3261604_1
AT1G09995	3263607_1
AT1G10000	3264751_1
AT1G10010	3268660_1
AT1G10020	3271921_1
AT1G10030	3275817_1
AT1G10040	3278236_1
AT1G10050	3283479_1
AT1G10060	3287020_1
AT1G10070	3290354_1
AT1G10090	3296181_1
AT1G10095	3300429_1
AT1G10100	3301421_1
AT1G10110	3304073_1
AT1G10120	3306692_1
AT1G10130	3322047_1
AT1G10140	3323485_1
AT1G10150	3327602_1
AT1G10155	3328365_1
AT1G10160	3333458_1
AT1G10160.1	3333458_1
AT1G10170	3337405_1
AT1G10180	3341559_1
AT1G10190	3345615_1
AT1G10200	3347819_1
AT1G10210	3351059_1
AT1G10220	3354837_1
AT1G10230	3356323_1
AT1G10240	3359773_1
AT1G10250	3360184_1
AT1G10270	3366222_1
AT1G10280	3368876_1
AT1G10290	3377447_1
AT1G10300	3380217_1
AT1G10310	3383905_1
AT1G10320	3388331_1
AT1G10330	3390145_1
AT1G10340	3392537_1
AT1G10350	3394988_1
AT1G10360	3396803_1
AT1G10370	3398310_1
AT1G10380	3402032_1
AT1G10385	3405042_1
AT1G10390	3412719_1
AT1G10400	3416249_1
AT1G10410	3419579_1
AT1G10417	3427360_1
AT1G10419	3428400_1
AT1G10430	3430632_1
AT1G10450	3438370_1
AT1G10455	3439002_1
AT1G10460	3440307_1
AT1G10470	3443953_1
AT1G10480	3451115_1
AT1G10490	3460511_1
AT1G10500	3461456_1
AT1G10510	3465262_1
AT1G10520	3469231_1
AT1G10522	3471467_1
AT1G10530	3472568_1
AT1G10538	3474750_1
AT1G10540	3477907_1
AT1G10550	3480967_1
AT1G10560	3486964_1
AT1G10570	3491238_1
AT1G10580	3493165_1
AT1G10585	3495138_1
AT1G10586	3499414_1
AT1G10588	3501751_1
AT1G10590	3503388_1
AT1G10600	3505450_1
AT1G10610	3508920_1
AT1G10620	3511770_1
AT1G10630	3514195_1
AT1G10640	3517862_1
AT1G10650	3526178_1
AT1G10657	3531801_1
AT1G10660	3535049_1
AT1G10670	3538306_1
AT1G10680	3543520_1
AT1G10682	3545353_1
AT1G10690	3550542_1
AT1G10700	3556047_1
AT1G10705	3557358_1
AT1G10710	3561620_1
AT1G10717	3562543_1
AT1G10720	3564624_1
AT1G10730	3567589_1
AT1G10740	3570782_1
AT1G10745	3573018_1
AT1G10747	3574828_1
AT1G10750	3578469_1
AT1G10760	3590781_1
AT1G10770	3592366_1
AT1G10780	3594998_1
AT1G10790	3597788_1
AT1G10800	3598543_1
AT1G10810	3600792_1
AT1G10820	3604943_1
AT1G10830	3607467_1
AT1G10840	3610408_1
